Porcentaje de Susceptibles, Cantidad de Suceptibles, Porcentaje de Infectados, Cantidad de Infectados, Porcentaje de Recuperados, Cantidad de Recuperados, Porcentaje de Muertos, Cantidad de Muertos 
15.2907,611628,19.0522,762087,48.1932,1927730,17.4639,698555
15.1254,605015,18.9209,756835,48.408,1936320,17.5457,701830
14.9625,598501,18.7829,751316,48.6271,1945084,17.6275,705099
14.8013,592054,18.6459,745835,48.8435,1953740,17.7093,708371
14.6435,585742,18.5115,740461,49.0567,1962268,17.7882,711529
14.4873,579491,18.377,735078,49.2677,1970709,17.8681,714722
14.3363,573452,18.2351,729405,49.4794,1979176,17.9492,717967
14.1865,567461,18.0958,723834,49.6867,1987467,18.031,721238
14.0322,561290,17.9642,718568,49.892,1995678,18.1116,724464
13.8868,555473,17.8292,713167,50.094,2003760,18.19,727600
13.7416,549665,17.6939,707757,50.2969,2011876,18.2675,730702
13.597,543882,17.5605,702419,50.4978,2019914,18.3446,733785
13.4586,538345,17.4203,696811,50.6983,2027930,18.4229,736914
13.3199,532797,17.2838,691351,50.895,2035800,18.5013,740052
13.1863,527453,17.1441,685765,51.0894,2043575,18.5802,743207
13.0532,522127,17.0051,680204,51.2859,2051435,18.6558,746234
12.9232,516928,16.8659,674637,51.4796,2059186,18.7312,749249
12.7974,511898,16.7241,668966,51.6708,2066833,18.8076,752303
12.6691,506763,16.5885,663541,51.8595,2074382,18.8829,755314
12.5452,501809,16.4503,658010,52.0484,2081936,18.9561,758245
12.4268,497073,16.3061,652245,52.2364,2089457,19.0306,761225
12.3081,492324,16.1643,646572,52.4232,2096928,19.1044,764176
12.1929,487717,16.0187,640746,52.6104,2104417,19.178,767120
12.0791,483163,15.8765,635060,52.7942,2111770,19.2502,770007
11.97,478800,15.734,629362,52.9751,2119003,19.3209,772835
11.8589,474356,15.5936,623744,53.1572,2126288,19.3903,775612
11.7524,470098,15.451,618042,53.3347,2133390,19.4617,778470
11.6459,465836,15.3139,612556,53.5072,2140286,19.533,781322
11.5432,461729,15.1694,606775,53.6818,2147273,19.6056,784223
11.4373,457491,15.0365,601461,53.8506,2154025,19.6756,787023
11.3342,453370,14.8986,595943,54.0222,2160887,19.745,789800
11.2333,449332,14.7615,590461,54.1909,2167637,19.8143,792570
11.1352,445407,14.6301,585202,54.3522,2174088,19.8826,795303
11.0408,441632,14.4897,579589,54.5198,2180793,19.9496,797986
10.9476,437903,14.358,574321,54.6769,2187077,20.0175,800699
10.858,434320,14.2243,568971,54.8323,2193292,20.0854,803417
10.7727,430908,14.0881,563525,54.9892,2199568,20.15,805999
